date,tweets,tweet_clean
2022-04-05,"@OposisiCerdas Bukti lengkap sudah terkumpul, mau mengelak gimana lagi, bukti BIG DATA dusta  dengan BIG DUSTA mirip, mahasiswa sudah mengepung, tangkap .",bukti lengkap kumpul elak gimana bukti big data dusta big dusta mahasiswa kepung tangkap
2022-04-05,@Cintada16 @SoniMsi07 Kaya2 ya mahasiswa skrg pd pake Mobil yg pake pertamax. Jaman dulu kuliah sy masi naik biz,kaya mahasiswa pd pakai mobil pakai pertamax jaman kuliah sy mas biz
2022-04-05,"@Android_AK_47 Semoga berhasil perjuangan menggulingkan rezim luknut. Dulu zaman rasullulah.. di bulan suci Ramadhan bs menaklukan kota Mekah dan semoga di bulan suci ini mahasiswa, aliansi buruh dan aliansi masyarakat bs menggulingkan rezim ini. Amin amin amin...",moga hasil juang guling rezim luknut zaman rasullulah suci ramadhan bs takluk kota mekah moga suci mahasiswa aliansi buruh aliansi masyarakat bs guling rezim amin amin amin
2022-04-05,@sbmptnfess oot tapi seneng deh sekarang ltmpt aktif di tiktok dan jawab pertanyaan calon mahasiswa. jadi ngerasa tenang karena pertanyaan mereka udah terjawab secara resmi;),oot neng deh ltmpt aktif tiktok calon mahasiswa ngerasa tenang jawab resmi
2022-04-05,"Selama punya nyali banyak cara menunjukan pembelaan terhadap Palestina.

Seorang mahasiswa Inggris mengibarkan bendera Palestina saat wisuda kelulusannya di kota Inggris, Manchester. https://t.co/a8LgOalnnO",nyali tunjuk bela palestina mahasiswa inggris kibar bendera palestina wisuda kelulus kota inggris manchester
2022-04-05,"[HADIS 04 | 30 HADIS SEPANJANG RAMADAN]

*""NABI PALING BANYAK DERMAWAN/ PEMURAH KETIKA RAMADAN.""*

Disediakan oleh :
EXCO KEROHANIAN DAN KEPIMPINAN
PERSATUAN MAHASISWA KELANTAN DARUL NAIM (PERDANA UKM) SESI 21/22
UNIVERSITI KEBANGSAAN MALAYSIA

#30HadisRamadan
#PerdanaUKM https://t.co/U4m5fzoM9W",hadis hadis ramadan nabi dermawan murah ramadan sedia exco rohani pimpin satu mahasiswa lantan darul naim perdana ukm sesi universiti bangsa malaysia hadisramadan perdanaukm
2022-04-05,"@keuangannews_id Bukan sekedar BEM SI tapi seluruh elemen masyarakat dan rakyat Indonesia wajib turun bergabung dengan adik2 Mahasiswa untuk melanjutkan Reformasi Jilid 2...
Allahu Akbar ✊✊✊
Panjang umur perjuangan 💪✊✊✊",dar bem si elemen masyarakat rakyat indonesia wajib turun gabung adik mahasiswa lanjut reformasi jilid allahu akbar umur juang
2022-04-05,@Abaaah Mahasiswa hanya protes tapi ga da solusi. Nanti kelak dipercaya jadi presiden atau wakil rakyat pasti kerjaannya nyinyir. Bahkan jadi problem maker dari pada problem solver. Calon2 penghancur negara n bangsa.,mahasiswa protes da solusi kelak percaya presiden wakil rakyat kerja nyinyir problem maker problem solver calon hancur netidakra bangsa
2022-04-05,@Miss_warawiri Tolong akun2 penyebar hoax modus mahasiswa demo disikat nih min @DivHumas_Polri @CCICPolri,tolong akun sebar hoax modus mahasiswa demo sikat nih min
2022-04-05,"@TukangMu Tidak bisa melihat mana subsidi &amp; non subsidi, ini mahasewa bukan mahasiswa.... 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️",subsidi amp non subsidi mahasewa mahasiswa
2022-04-05,@AliBej0 @Anggita_lung Mereka fix mahasiswa Kadrun yg sebagian besar mengikuti pengajian bentukan HTI di kampusnya masing-masing,fix mahasiswa ikut aji bentuk hti kampus
2022-04-05,"@Jokitugsfess aku bisaa, 8k per bait, negoin di dm atau wa di https://t.co/kPBg9lZcy7, aku mahasiswa sastra inggris semester akhir jadi ga akan ngasal grammar dan structurenya, aku jg ngajar di bimbel, testi cek di https://t.co/P185AT9XJy",bisaa bait negoin dm wa mahasiswa sastra inggris semester ntidaksal grammar structurenya ntidakjar bimbel testi cek
2022-04-05,"Ceramah di Depan Mahasiswa Unhan, Megawati: Jangan Lembek! https://t.co/gyURj8oYwV",ceramah mahasiswa unhan megawati lembek
2022-04-05,"@Dennysiregar7 Dosen: buatlah produk yg ada inovasinya jangan barang yg sudah ada anda buat lagi
Mahasiswa mikir, jaman sekarang yg lagi laku kalau produk dikemas berbau agama"",, akhirnya munculah produk ini, semata"" Hanya untuk cuan supaya produk cepat laku, tidak lebih 😆😆😆😆",dosen buat produk inovasi barang mahasiswa mikir jaman produk kemas bau agama munculah produk untung produk cepat
2022-04-05,@soen_cak Mahasiswa yg kuliahnya dikantin atau rg UKM sambil main game online,mahasiswa kuliah kantin rg ukm main game online
2022-04-05,@loladevung Ini USD ya? Hmmm … ada Lembaga Kesejahteraan Mahasiswa juga. Koq seperti tak berdaya ya …,usd hmmm lembaga sejahtera mahasiswa koq daya
2022-04-05,"[cm] halo aku mau nanya, ada yang tau info lomba buat mahasiswa ceknya dimana? Terus kan aku belum pernah ikut lomba selama perkuliahan, sekarang pengen nyoba karena lagi ada kebutuhan. Kira kira misalkan ikut lomba esai tapi tulisannya jelek, gapapa kan ya? Terima kasih",cm nanya info lomba mahasiswa cek mana lomba kuliah ken nyoba butuh lomba esai tulis jelek gapapa terima
2022-04-05,"Mahasiswa Ancam Demo Besar ke Jokowi, Ngabalin Nyindir: Bagaimana logikanya? https://t.co/tm1iWVmytp lewat @Repelita Online",mahasiswa ancam demo jokowi ngabalin nyindir logika online
2022-04-05,@Cintada16 Ini mahasiswa emangnya pada pakai pertamax???,mahasiswa emang pakai pertamax
2022-04-05,"pelajar,mahasiswa,pengangguran? mau penghasilan tambahan seperti itu? cepat hub saya sms : 083870782254 Pin : 2B613A4B https://t.co/OQeFVi32I6",ajar mahasiswa anggur hasil tambah cepat hub sms pin bab
2022-04-05,"pelajar,mahasiswa,pengangguran? mau penghasilan tambahan seperti itu? cepat hub saya sms : 083870782254 ..pin by req. https://t.co/DOCkZOIDZk",ajar mahasiswa anggur hasil tambah cepat hub sms pin by req
2022-04-05,@AgusYudhoyono Ngabu buritnya 11april aja .....bersama mahasiswa dan anak STM..... https://t.co/P4VHen81U6,ngabu burit april mahasiswa anak stm
2022-04-05,Keluarga Mahasiswa ITB lg ngumpul di DPR https://t.co/EjlbDNGKoB,keluarga mahasiswa itb lg ngumpul dpr
2022-04-05,@keuangannews_id Bravo Mahasiswa,bravo mahasiswa
2022-04-05,"@Miss_warawiri semangArt berjuang adik-2 Mahasiswa...
💪🫵👍",semangart juang adik mahasiswa
2022-04-05,"@soen_cak Padahal jln desa2 sumenep banyak yg rusak parah, malah mahasiswa nya demo pertamax",jln desa sumenep rusak parah mahasiswa demo pertamax
2022-04-05,@Cintada16 Mahasiswa bodoh dimanfaatkan cukong politik pilih isu Demo saja salah he..he memalukan demo kok membela pemilik mobil mewah tung lucuuuuuu,mahasiswa bodoh manfaat cukong politik pilih isu demo salah he he malu demo bela milik mobil mewah tung lucuuuuuu
2022-04-05,"@BEMUI_Official Istana nantang mahasiswa untuk demo ya😆😆😆,main kan adek adek",istana nantang mahasiswa demo ya main adik adik
2022-04-05,"@Cintada16 Mahasiswa bodoh demo kok membela yang bayar membela orang kaya membela pembeli Pertamax, BBM ini khan khusus buat pemilik Mobil... nah saya ga punya mobil, ga pake pertamax sy ga butuh dibela mahasiswa yang demo tolak Pertamax. Kalau pertamax ditolak lalu kendaraan pake apa?",mahasiswa bodoh demo bela bayar bela kaya bela beli pertamax bbm khan milik mobil mobil pakai pertamax sy butuh bela mahasiswa demo tolak pertamax pertamax tolak kendara pakai
2022-04-05,"klaim bahwa mahasiswa yang melakukan demonstrasi menolak  masa jabatan presiden tiga periode diancam drop out oleh Presiden Jokowi adalah tidak berdasar. Hingga kini tidak ditemukan informasi resmi dan valid mengenai hal itu.

#WaspadaProvokasiKadrun

https://t.co/H9OO63CpR8",klaim mahasiswa demonstrasi tolak jabat presiden periode ancam drop out presiden jokowi dasar temu informasi resmi valid waspadaprovokasikadrun
2022-04-05,"Ada yg ngancam mau geruduk istana.
Kalian bukan mewakili seluruh mahasiswa di Indonesia.
Kalian hanya mahasewa yg bodoh &amp; manja yg bisanya cuma demo dan ingin negara ini gaduh.
Inilah akibatnya kalo @ListyoSigitP lembek kpd para provokator.

#WaspadaProvokasiKadrun https://t.co/sWNA9jggyJ",ngancam geruduk istana wakil mahasiswa indonesia mahasewa bodoh amp manja bisa demo negara gaduh akibat lembek kpd provokator waspadaprovokasikadrun
2022-04-05,"Kalo ga ngehoax bukan kadrun namanya 
video demo mahasiswa 2019 soal penolakan RUU KPK dan RUU KUHP di Yogya ehh Di sebut video demo turunkan presiden yang ga diliput media

#WaspadaProvokasiKadrun 

https://t.co/HPMZPFKokR https://t.co/RYCb5Kirpj",ngehoax nama video demo mahasiswa tolak ruu kpk ruu kuhp yogya ehh video demo turun presiden liput media waspadaprovokasi
2022-04-05,"Semua ini sudah pasti kerjaan kadrun yg sedang lapar, Ironisnya ada masiswa yg percaya ini🤦‍♂️.
Buat adik-adik mahasiswa saya ingatkan kalian akan celaka di manfaatkan kadrun yg kita tahu mereka adalah sampah..!
#WaspadaProvokasiKadrun https://t.co/6nSuG4uBKC",kerja lapar ironis masiswa percaya ini adik adik mahasiswa ingat celaka manfaat sampah waspadaprovokasi
2022-04-05,@yaniarsim Jangan salahkan kan rakyat(mahasiswa)kalau kalian di buat lebih dari itu ya aparat kepolisian.....!!,salah rakyat mahasiswa aparat polisi
2022-04-05,"Sama dengan mahasiswa lainnya, kalau kita punya usulan, kritik maupun saran bisa di sampaikan dengan cara santun..., Berdiskusi lebih asik daripada bikin onar di jalanan 🙏",mahasiswa usul kritik saran santun diskus asik bikin onar jalan
2022-04-05,Polres Pringsewu telah melakukan penyerahan tersangka dan barang bukti kasus kecelakaan yang menewaskan mahasiswa cantik bernama Angela Yessa. #kecelakaanmaut https://t.co/f5DK68zrSl,polres pringsewu serah sangka barang bukti celaka tewas mahasiswa cantik nama angela yessa kecelakaanmaut
2022-04-05,"@rdaviq27 Jangan lupakan tugas utama mahasiswa,  bikin proposal, persiapan sempro, bikin gaker TA wkwk
SEMANGATTT",lupa tugas utama mahasiswa bikin proposal siap sempro bikin gaker ta semangattt
2022-04-05,"Guru Besar Universitas Pertahanan (Unhan) Megawati Soekarnoputri bicara panjang dan memberi contoh terkini terkait geopolitik, agar Indonesia bisa memahami potensi-potensi yang ada.

#merahputihcom #unhan #megawatisoekarnoputri 

https://t.co/c81KzFzGwt",guru universitas tahan unhan megawati soekarnoputri bicara contoh kini kait geopolitik indonesia paham potensi potensi merahputihcom unhan megawatisoekarnoputri
2022-04-05,@iniTsania @merapi_uncover @omgasat Seng ngomong ngono ki yo turis mbi mahasiswa luar kota seng kuliah neng kene mbak 🤣,seng ngomong ngono ki yo turis mbi mahasiswa kota seng kuliah neng kene mbak
2022-04-05,"Mantap ini ayo adik² STM bergabung dengan teman² mahasiswa @BEM_SI dan rakyat yang merasa terdzolimi oleh diktator penguasa 

#STMMelawan 
#MahasiswaMelawan https://t.co/RC1S6QPMuY",mantap ayo adik stm gabung teman mahasiswa rakyat terdzolimi diktator kuasa stmmelawan mahasiswamelawan
2022-04-05,"[askrl] halo aku mau nanya, ada yang tau info lomba buat mahasiswa ceknya dimana? Terus kan aku belum pernah ikut lomba selama perkuliahan, sekarang pengen nyoba karena lagi ada kebutuhan. Kira kira misalkan ikut lomba esai tapi tulisannya jelek, gapapa kan ya? Terima kasih",askrl nanya info lomba mahasiswa cek mana lomba kuliah ken nyoba butuh lomba esai tulis jelek gapapa terima
2022-04-05,"@SantorinisSun Cukup simak sampai daftar 50 Universitas terbaik dunia, negara Asia mana saja yang terdaftar? Luar biasa, sibuk demo terus, sampai lupa ada di posisi mana prestasi Mahasiswa kita?

https://t.co/Pz9wzKnyOV

#SaveNKRI 🇮🇩 🇮🇩 🇮🇩",simak daftar universitas baik dunia negara asia daftar sibuk demo lupa posisi prestasi mahasiswa savenkri
2022-04-05,@soen_cak Mahasiswa kok ga otak ..emang yg mereka rusak ga pake uang negara ...somplak,mahasiswa otak rusak pakai uang netidakra somplak
2022-04-05,"@convomfs Izin 1 hari, kan mahasiswa punya jatah absen",izin mahasiswa jatah absen
2022-04-05,@OposisiCerdas Itu pernyataan yang sangat menyakitkan. Wahai mahasiswa buktikan bahwa kalian adalah pejuang sejati pembela kebenaran dan keadilan,nyata sakit mahasiswa bukti juang sejati bela benar adil
2022-04-05,"@garuda080 Mahasiswa kadrun🤣🤣
#WaspadaProvokasiKadrun",mahasiswa kadrun waspadaprovokasikadrun
2022-04-05,"""Ya silakan saja; tidak mungkin dilarang-dilarang. Ini negara demokrasi,"" kata Faldo https://t.co/I0FN2VjJFu",sila larang larang negara demokrasi faldo
2022-04-05,"Lulus tidak nya mahasiswa itu bukan dinilai dari UTS, UAS, tugas dan praktikum, tapi dari ""pendekatan"". Yaitu seberapa dekat kepada dosen",lulus mahasiswa nilai uts uas tugas praktikum dekat dosen
2022-04-05,@WagimanDeep212_ @jokowi Mahasiswa skrg beda sama mahasiswa th 98😀😀😀😀 skrg cma butuh cuan buat beli kuota,mahasiswa beda mahasiswa th cma butuh untung beli kuota
2022-04-05,Mahasiswa mulai berani.. tanda apa ini https://t.co/TBA61Td6MW,mahasiswa berani tanda
2022-04-05,@Cintada16 Mahsiswa yg tidak tau arti kata mahasiswa ..,mahsiswa mahasiswa
2022-04-05,"@ElinaDio Pemerintah kan licik. Pertalite langka bensin hilang.  Coba kalau kedua jenis bbm itu banyak. Pasti pemerintah di puji. Dan mahasiswa masih baik. Belum lempar istana, belum bakar warung, belum teriak revolusi,  blum derama nangis nangis. Kayak junjunganmu https://t.co/UoBP25LRCy",perintah licik pertalite langka bensin hilang coba jenis bbm perintah puji mahasiswa lempar istana bakar warung teriak revolusi blum derama nang nang kayak junjung
2022-04-05,"Mereka bukan mewakili mahasiswa SeIndonesia
 #WaspadaProvokasiKadrun https://t.co/3M7sVqvpJV",wakil mahasiswa indonesia waspadaprovokasikadrun
2022-04-05,@KompasTV ya penting mereka demo.mahasiswa skr gampang di hasut.,demo mahasiswa skr gampang hasut
2022-04-05,@WagimanDeep212_ kakean nonton drakor mahasiswa sekarang,kakean nonton drama korea mahasiswa
2022-04-05,"Istana Tak Larang Mahasiswa Demo Jokowi, Asalkan… https://t.co/Erp2S8RNQp #demo #FaldoMaldini #Jokowi",istana larang mahasiswa demo jokowi asal demo faldomaldini jokowi
2022-04-05,ni gw hidup mahasiswa hidup mahasiswa gua gatau anying abis lolos gw hrus apa,gw hidup mahasiswa hidup mahasiswa gua gatau anying abis lolos gw hrus
2022-04-05,HIDUP MAHASISWA GENGS,hidup mahasiswa gengs
2022-04-05,Sesuai konstitusi aja adek2 mahasiswa mahasiswi.. jangan dipaksain #GoodByeJokowi,sesuai konstitusi adik mahasiswa mahasiswi dipaksain goodbyejokowi
2022-04-05,"Terungkap :

Klaus Schwab dan WEF hanya lah sebuah Boneka !! Di blkg Klaus Schwab dan WEF berdiri CIA !! Klaus Schwab sbg mahasiswa pd tahun 1960 direkrut oleh Henry Kissinger utk CIA menjadi Pentolan WEF !!",ungkap klaus schwab wef boneka blkg klaus schwab wef diri cia klaus schwab sbg mahasiswa pd tahun rekrut henry kissinger cia pentol wef
2022-04-05,@CNNIndonesia Mahasiswa auto jdi kadrun semua,mahasiswa auto jdi
2022-04-05,@Cintada16 Mahasiswa ini anak gendongan semua yaa...?!? Atau anjingw piaraan siapakah..?,mahasiswa anak gendong yaa anjingw piara
2022-04-05,"@Cintada16 Mahasiswa bego dan pengembira lagi melakukan ke begoan nya Pertamax itu untuk golongan  menengah keatas bukan untuk golongan kebawah. 
Pertamax tidak disubsidi oleh Pemerintah dan yang di subsidi adalah Pertalite. 
Gitu aja Koq nalar sebagai mahasiswa tumpul dasar generasi BEGO",mahasiswa bego pengembira bego pertamax golong tengah atas golong bawah pertamax subsidi perintah subsidi pertalite gitu koq nalar mahasiswa tumpul dasar generasi bego
2022-04-05,Hanya mahasiswa yg sanggung demo berjilid2 https://t.co/gPyF3x10dq,mahasiswa sanggung demo jilid
2022-04-05,@YRadianto Mahasiswa bodong dong 😂😂😂,mahasiswa bodong
2022-04-05,"@subschfess Cinta pertama pas TK, mungkin karena dulu cuma tau UI doang ye. Trus mahasiswa nya tuh kek kece gitu, pada pinter yang pinternya kek KECE T____T. Gw jd suka warna kuning karena ni kampung almetnya kuning",cinta pas tk ui doang ye mahasiswa tuh kek kece gitu pinter pinternya kek kece gw suka warna kung kampung almetnya kung
2022-04-05,"@Anggita_lung @jokowi Parah mahasiswa kadrun
#WaspadaProvokasiKadrun",parah mahasiswa waspadaprovokasi
2022-04-05,"#GoodByeJokowi Hidup mahasiswa Tegakan DEMOKRASI Tumbangkan OLIGARKI. Dan #boikotaice 
#TolakAICEsponsorpialaduniaQatar https://t.co/DH4d6OV87U",goodbyejokowi hidup mahasiswa tega demokrasi tumbang oligarki boikotaice tolakaicesponsorpialaduniaqatar
2022-04-05,"@democrazymedia Lihat aja dulu respon mahasiswa milenial. Apa jangan jangan melempem di tantang rezim,",respon mahasiswa milenial melempem tantang rezim
2022-04-05,Billkin PP mahasiswa KUTU https://t.co/An6rXW0TYR,billkin pp mahasiswa kutu
2022-04-05,"@BaseAnakFK Sebagai mahasiswa fk pts yg disebutkan di atas sih cmn bisa senyum liatnya ya🥲 
Apapun FKnya, semuanya juga perlu proses &amp; ga instan. Mungkin gampang masuknya, keluarnya setengah mati kali ya😅",sebatidaki mahasiswa fk pts cmn senyum liat ya apa fknya jutidak proses amp instan tidakmpang masuk keluar setentidakh mati ya
2022-04-05,"BEM se-Indonesia Memanggil ✊🏻🇮🇩
BEM SI mengajak para Mahasiswa untuk melakukan aksi kolektif pada 11 April 2022..

Hidup Mahasiswa !! Hidup Rakyat Indonesia !!

#MahasiswaMelawan Indonesia Jokowi Pemerintah #TigaPeriodeNdasmu 1% https://t.co/VW19QD6Uyp",bem indonesia panggil bem si ajak mahasiswa aksi kolektif april hidup mahasiswa hidup rakyat indonesia mahasiswamelawan indonesia jokowi perintah tigaperiodendasmu
2022-04-05,"Pada hakekatnya, mencari investor itu, NEGARA INI LAGI DIJUAL.
Kalo pemilu ditunda atau jokowi 3 periode (+ lima tahun). Bayangkan sendiri.
Saya sebagai Pemilik Syah Negeri Ini, BERHAK UNTUK BICARA DAN MEMPERTAHANKANNYA.
Termasuk Mahasiswa dan rakyat yg menyuarakan SUARANYA. https://t.co/aMsFd77PoS",hakekatnya cari investor negara jual milu tunda jokowi periode tahun bayang milik syah negeri hak bicara tahan mahasiswa rakyat suara suara
2022-04-05,"Anggarkan Rp 88 miliar Rusun mahasiswa nusantara terapkan arsitektur tropis
#LangkahUntukPulihkanRI https://t.co/2Xu6NlM3sW",anggar rp miliar rusun mahasiswa nusantara terap arsitektur tropis langkahuntukpulihkanri
2022-04-05,@kiyeounlino 😭sedih banget mahasiswa😭,sedih mahasiswa
2022-04-05,@democrazymedia Kepala negara itu bawahan mahasiswa dan rakyat lho lin.,kepala negara bawah mahasiswa rakyat lho lin
2022-04-05,@Cintada16 mahasiswa gadungan itu...klo memang bener mahasiswa ndak berperilaku seperti ini... ini mah pasukan sakit hati yg galau dgn kesuksesan pemerintah saat ini...itu aja,mahasiswa gadungan mahasiswa ndak perilaku mah pasu sakit hati galau sukses perintah
2022-04-05,@hc_poirot Mahasiswa Surabaya adem ayem aja 🤣,mahasiswa surabaya adem ayem
2022-04-05,"Aku gatau ada atau engga sebenernya Kampus yg buka jalur mandiri tapi non pangkal

Kalo dinalar aja kayaknya gamungkin, soalnya kampus tuh pemasukan terbesarnya cm setahun sekali, ya waktu penerimaan mahasiswa baru, pemasukan terbesar mereka kalo ga dari anak mandiri, dari siapa?",tidaktau engtidak sebenernya kampus buka jalur mandiri non pangkal nalar kayak tidakmungkin kampus tuh pasu besar cm tahun waktu terima mahasiswa pasu besar anak mandiri
2022-04-05,"Setelah aksi demo pada Jum'at 01 April 2022 di Jakarta.
khabarnya mahasiswa berencana untuk ""KUMAT"" demo lagi pada Senin, 11 April 2022 mendatang.

Ingat dek ujian akhir semester, kasian ortumu biayai kuliah.

#WaspadaProvokasiKadrun

Jan ora pantes 👇
https://t.co/tT1NKTHk17",aksi demo jum at april jakarta khabarnya mahasiswa rencana kumat demo senin april dek uji semester kasi ortumu biaya kuliah waspadaprovokasikadrun jan ora pantes
2022-04-05,"Awas Hoax... !!!

Banyak beredar hoax yg saling menyudutkan pemerintah sehingga bisa menimbulkan perpecahan diantara para mahasiswa dan masyarakat karena bisa termakan isu hoax yang tidak bertanggung jawab.

Maka dari itu mari kita waspada terhadap hoax.

#WaspadaProvokasiKadrun https://t.co/iUxQ0u8y9i",awas hoax edar hoax sudut perintah timbul pecah mahasiswa masyarakat makan isu hoax tanggung mari waspada hoax waspadaprovokasikadrun
2022-04-05,"#WaspadaProvokasiKadrun
https://t.co/Rck6XBCzTH
Woiiii mahasewa...kalian itu pintar apa g0blok ya..
Sudah jelas jelas Pak @jokowi menolak tiga periode, kalian masih menggoreng isu tersebut.
Kalian dibayar berapa sama bohir untuk demo..😡😡",waspadaprovokasikadrun woiiii mahasewa pintar gblok tolak periode goreng isu bayar bohir demo
2022-04-05,"[cm] semangat para mahasiswa. semoga lelah kita berbayar dengan pahala dan kesuksesan, aamiin.",cm semangat mahasiswa moga lelah bayar pahala sukses aamiin
